site_name,site_address,site_city,site_state,site_zip,latitude,longitude,site_type
Broadmeadow Elem School,500 Sunview Rd,Rantoul,IL,61866-2121,40.305825,-88.168899,Eligible School
Eastlawn Elem School,650 N Maplewood Dr,Rantoul,IL,61866-1714,40.317168,-88.135603,Eligible School
J W Eater Jr High School,400 E Wabash Ave,Rantoul,IL,61866-3013,40.306183,-88.15369,Eligible School
Ludlow Elementary School,PO Box 130,Ludlow,IL,60949-0130,40.370897,-88.152546,Eligible School
Rantoul Twp High School,200 S Sheldon St,Rantoul,IL,61866-2431,40.308816,-88.150195,Eligible School
Clara Peterson Elem School,PO Box 50,Paxton,IL,60957-0050,40.46031,-88.09532,Eligible School
Paxton-Buckley-Loda Jr High Sch,PO Box 50,Paxton,IL,60957-0050,40.46031,-88.09532,Eligible School
Shelbyville Bridges,201 E North 12th St,Shelbyville,IL,62565-1018,39.420045,-88.794087,Eligible School
Humboldt Bridges,308 Adams St,Humboldt,IL,,39.607982,-88.317786,Eligible School
Paris Bridges,210 E Court St,Paris,IL,61944-2292,39.611048,-87.692436,Eligible School
Lerna Bridges,PO Box 129,Lerna,IL,62440-0129,39.418401,-88.270006,Eligible School
Martinsville Jr-Sr High School,PO Box K,Martinsville,IL,62442-0166,39.325782,-87.850086,Eligible School
Martinsville Elem School,PO Box 396,Martinsville,IL,62442-0396,39.325782,-87.850086,Eligible School
Jefferson Elem School,801 Jefferson Ave,Charleston,IL,61920-1527,39.497878,-88.173868,Eligible School
Carl Sandburg Elem School,1924 Reynolds Dr,Charleston,IL,61920-3157,39.478224,-88.191278,Eligible School
Mark Twain Elem School,1021 13th St,Charleston,IL,61920-2906,39.486299,-88.16802,Eligible School
Mattoon Middle School,1200 S 9th St,Mattoon,IL,61938-6002,39.472461,-88.362233,Eligible School
Riddle Elementary School,4201 Western Ave,Mattoon,IL,61938-2049,39.483673,-88.414114,Eligible School
Arland D Williams Jr Elem Sch,1709 S 9th St,Mattoon,IL,61938-6000,39.465167,-88.364424,Eligible School
Adult LIFE Academy,1617 Lake Land Blvd,Mattoon,IL,,39.465689,-88.377392,Eligible School
Fresh Start Treatment & Learning,215 N 1st St,Effingham,IL,62401-3424,39.122321,-88.538487,Eligible School
Treatment & Learning Center,PO Box 259,Kansas,IL,61933-0259,39.637094,-87.896219,Eligible School
Treatment & Learning Center-H,PO Box 97,Humboldt,IL,61931-0097,39.586199,-88.347315,Eligible School
LIFE Academy,2405 Champaign Ave,Mattoon,IL,,39.485773,-88.384956,Eligible School
Villa Grove Jr High School,400 N Sycamore St,Villa Grove,IL,61956-9771,39.866167,-88.160529,Eligible School
Lovington Grade School,330 S High St,Lovington,IL,61937-9360,39.715121,-88.628103,Eligible School
Arcola Elementary School,351 W Washington St,Arcola,IL,61910-1120,39.683786,-88.316258,Eligible School
Shiloh Elementary School,21751 N 575th St,Hume,IL,61932-7013,39.788048,-87.860014,Eligible School
Shiloh High School,21751 N 575th St,Hume,IL,61932-7013,39.788048,-87.860014,Eligible School
Kansas High School,310 S Front,Kansas,IL,61933-6205,39.550176,-87.93929,Eligible School
Kansas Elem School,310 S Front,Kansas,IL,61933-6205,39.550176,-87.93929,Eligible School
Chrisman-Scottland Jr High School,23231 IL Highway 1,Chrisman,IL,61924-7801,39.808755,-87.672704,Eligible School
Chrisman Elem School,111 N Pennsylvania St,Chrisman,IL,61924-1238,39.803616,-87.673468,Eligible School
Carolyn Wenz Elem School,437 W Washington St,Paris,IL,61944-1726,39.610132,-87.702367,Eligible School
Mayo Middle School,300 E Wood St,Paris,IL,61944-1848,39.612455,-87.689371,Eligible School
Memorial Elementary School,509 E Newton St,Paris,IL,61944-2421,39.604749,-87.688611,Eligible School
Windsor Jr & Sr High School,1424 Minnesota Ave,Windsor,IL,61957-1010,39.442345,-88.601709,Eligible School
Windsor Elem School,808 Wisconsin Ave,Windsor,IL,61957-1249,39.442942,-88.593665,Eligible School
Cowden-Herrick Jr/Sr High School,633 County Highway 22,Cowden,IL,62422-4104,39.243441,-88.86159,Eligible School
Cowden-Herrick Grade School,301 N Broadway St,Herrick,IL,62431-1001,39.22019,-88.984593,Eligible School
Safe School ROE 12 Jasper County,PO Box 77,Willow Hill,IL,62480-0077,38.992322,-88.031057,Eligible School
Truant Alternative Optional Ed,PO Box 77,Willow Hill,IL,62480-0077,38.992322,-88.031057,Eligible School
Clay City High School,PO Box 542,Clay City,IL,62824-0542,38.68866,-88.35421,Eligible School
Clay City Jr High School,PO Box 542,Clay City,IL,62824-0542,38.68866,-88.35421,Eligible School
Clay City Elem School,PO Box 542,Clay City,IL,62824-0542,38.68866,-88.35421,Eligible School
North Clay Elem/Jr High Sch,PO Box 279,Louisville,IL,62858-0279,38.771768,-88.506465,Eligible School
Floyd Henson Jr High Sch,609 N Stanford Rd,Flora,IL,62839-2632,38.676232,-88.470282,Eligible School
Flora Elementary School,445 Emory St,Flora,IL,62839-2701,38.668439,-88.477632,Eligible School
Oblong Elem School,600 W Main St,Oblong,IL,62449-1161,39.001934,-87.914102,Eligible School
Red Hill Jr/Sr High School,908 Church St,Bridgeport,IL,62417-1816,38.712016,-87.757224,Eligible School
Sumner Attendance Center,110 W Locust St,Sumner,IL,62466-1185,38.714639,-87.861597,Eligible School
Bridgeport Grade School,1300 N Main St,Bridgeport,IL,62417-1300,38.714377,-87.761224,Eligible School
Lawrenceville High School,2200 James St,Lawrenceville,IL,62439-2028,38.725403,-87.696856,Eligible School
Parkview Jr High School,1802 Cedar St,Lawrenceville,IL,62439-2157,38.718631,-87.694244,Eligible School
Parkside Elementary School,1900 Cedar St,Lawrenceville,IL,62439-2156,38.721293,-87.694437,Eligible School
Richland County Middle School,1099 N Van St,Olney,IL,62450-3016,38.741186,-88.066722,Eligible School
Richland County Elementary School,1001 N Holly Rd,Olney,IL,62450-4463,38.602858,-88.056908,Eligible School
Safe School Program,1710 Broadway St,Mount Vernon,IL,62864-2930,38.316548,-88.910651,Eligible School
Safe School Program  Centralia,1000 E 3rd St,Centralia,IL,62801-3613,38.524198,-89.120756,Eligible School
Mt Vernon Alternative School,2300 Benton Rd,Mount Vernon,IL,62864-6132,38.293685,-88.903129,Eligible School
Centralia Alternative School,1000 E 3rd St,Centralia,IL,62801-3613,38.524198,-89.120756,Eligible School
Willow Grove Elem School,815 W 7th St,Centralia,IL,62801-5726,38.521525,-89.148066,Eligible School
